no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,gender,天氣,place_id,crowd,crowd_rank
416,2022/2/14 18:14,"0150deb7d0,0086",U549d83ded5aae205862d9454360f140e,憲作食品商行喜歡義式霜淇淋的你,23.5664,119.56782,262688,22,0,陰風 ,ChIJG0z49hwjaDQRMmvYJQ2CozA,0,1
516,2022/2/15 19:07,"0150deb7d0,0227",U549d83ded5aae205862d9454360f140e,小林包子饅頭店,23.5685,119.56895,265960,22,0,陰風 ,ChIJ65MD9e1abDQRgBYmeHF2G7o,0,2
343,2022/2/13 12:59,"0150deb7d0,0332",U549d83ded5aae205862d9454360f140e,小螞蟻牛排,23.56836,119.56831,258404,22,0,陰雨,ChIJO-k-Wr1bbDQRkJ45wWsxJ_A,0,3
281,2022/2/12 22:50,"0150deb7d0,0177",U549d83ded5aae205862d9454360f140e,夏天茶飲,23.57184,119.57075,257214,22,0,風,ChIJN9-vTe5abDQRt5TDf4_F5kU,0,4
303,2022/2/12 17:10,"0150deb7d0,0262",U549d83ded5aae205862d9454360f140e,登峰藝品行(登峰特產行),23.56505,119.56522,255923,22,0,風,ChIJ0bCS0oxabDQR0EkKVFJ_O3Y,0,5
271,2022/2/12 13:23,"0150deb7d0,0202",U549d83ded5aae205862d9454360f140e,原豆工坊咖啡專賣店,23.56409,119.56508,255140,22,0,風,ChIJzV38LvNabDQRGh1qBJwaVC0,0,6
460,2022/2/15 11:01,"0150deb7d0,0179",U549d83ded5aae205862d9454360f140e,祥馨鮮鮮果舖,23.57336,119.57256,264386,22,0,陰風 ,ChIJ00QLKRJbbDQRwD2GYkNXlMI,0,7
282,2022/2/12 22:51,"0150deb7d0,0441",U549d83ded5aae205862d9454360f140e,本家食堂日式料理,23.57544,119.57445,257218,22,0,風,ChIJb2-h3-VabDQR4qu44KW2AtA,0,8
240,2022/2/11 16:21,"0150deb7d0,0266",U549d83ded5aae205862d9454360f140e,外垵福氣刈包,23.56469,119.47946,252684,22,0,陰風 ,ChIJubLqyOBZbDQR3lTEi3Sv1VM,0,9
